frame,total,visibility,gbuffer,lighting,tonemap,index_count
2840,1.32116,0.35561,0.28037,0.59177,0.07484,1484075.70000
2850,1.31892,0.35516,0.27877,0.59130,0.07499,1454770.20000
2860,1.31496,0.35268,0.27719,0.59095,0.07501,1414781.70000
2870,1.31601,0.35595,0.27542,0.59087,0.07506,1377562.80000
2880,1.32144,0.36366,0.27312,0.59082,0.07494,1309885.80000
2890,1.33594,0.38036,0.27052,0.59092,0.07526,1277256.60000
2900,1.35219,0.39780,0.26932,0.59137,0.07528,1277252.40000
2910,1.34957,0.39854,0.26649,0.59107,0.07486,1272765.00000
2920,1.26706,0.31058,0.26604,0.59092,0.07530,1261032.00000
2930,1.21341,0.26402,0.26515,0.59080,0.07458,1223425.20000
2940,1.22240,0.27194,0.26650,0.59060,0.07468,1242414.60000
2950,1.23555,0.28272,0.26774,0.59083,0.07497,1203858.90000
2960,1.23580,0.28470,0.26690,0.59073,0.07484,1168715.70000
2970,1.24184,0.28924,0.26756,0.59104,0.07495,1165460.40000
2980,1.24592,0.29694,0.26482,0.59067,0.07479,1165323.00000
2990,1.23977,0.29862,0.25903,0.58992,0.07380,1165323.00000
3000,1.23640,0.30390,0.25198,0.58856,0.07272,1276646.10000
3010,1.23622,0.30597,0.25129,0.58806,0.07234,1327812.00000
3020,1.41902,0.48118,0.25601,0.58950,0.07361,2979569.10000
3030,1.66073,0.68106,0.29017,0.59166,0.07492,6039584.10000
3040,1.52471,0.55511,0.28123,0.59080,0.07528,5473671.60000
3050,1.51174,0.54251,0.28133,0.59062,0.07488,5327911.20000
3060,1.50604,0.53651,0.28146,0.59088,0.07493,5247549.30000
3070,1.51547,0.54324,0.28342,0.59115,0.07510,5318688.00000
3080,1.53390,0.55641,0.28887,0.59125,0.07484,5443851.60000
3090,1.53597,0.55315,0.29291,0.59148,0.07507,5463180.00000
3100,1.54504,0.55732,0.29790,0.59152,0.07528,5528318.40000
3110,1.54900,0.55791,0.30170,0.59158,0.07503,5518302.60000
