frame,total,visibility,gbuffer,lighting,tonemap,index_count
2070,4.41877,1.46703,2.09854,0.58506,0.07548,23077973.40000
2080,3.88484,1.20084,1.75841,0.58286,0.06993,20593693.20000
2090,3.29075,1.07029,1.47804,0.57866,0.06695,18992582.10000
2100,2.62211,0.40344,1.36818,0.71967,0.07015,4590594.60000
2110,2.96896,0.71428,1.45300,0.58572,0.07402,12734513.40000
2120,3.81517,1.18082,1.71877,0.59134,0.08446,20215755.60000
2130,3.84268,1.21686,1.78838,0.59273,0.08666,20427870.00000
2140,4.44944,1.26405,2.16478,0.59093,0.08554,20832835.80000
2150,4.86306,1.34541,2.56990,0.58882,0.08238,21201982.80000
2160,3.54054,1.16004,1.59090,0.58523,0.07652,16232291.70000
2170,1.85066,0.23538,0.94908,0.57943,0.06864,1575881.40000
2180,1.59186,0.24829,0.67329,0.58110,0.07142,1637140.20000
2190,1.38556,0.24366,0.46536,0.58142,0.07513,1388206.80000
2200,1.11489,0.16409,0.29999,0.57204,0.06068,724267.50000
2210,0.95127,0.09538,0.22177,0.56104,0.05528,522360.60000
2220,0.96578,0.05624,0.27789,0.55955,0.05434,359120.40000
2230,0.88135,0.03358,0.21976,0.55621,0.05506,318315.00000
2240,0.83985,0.02660,0.18630,0.55340,0.05662,235974.30000
2250,0.82577,0.01704,0.18389,0.55324,0.05472,40580.10000
2260,0.84441,0.01933,0.19683,0.55475,0.05566,142475.40000
2270,0.95048,0.03773,0.28562,0.55779,0.05143,404724.00000
2280,0.91793,0.03382,0.25772,0.55709,0.05213,264973.50000
2290,0.88157,0.02881,0.22495,0.55614,0.05417,205083.00000
2300,0.82851,0.01290,0.18939,0.55353,0.05472,20613.00000
2310,0.82017,0.01030,0.18425,0.55328,0.05460,0.00000
2320,0.81931,0.00998,0.18424,0.55313,0.05401,0.00000
2330,0.81941,0.00973,0.18430,0.55342,0.05448,0.00000
2340,0.81929,0.00987,0.18430,0.55278,0.05503,0.00000
2350,0.81940,0.01007,0.18427,0.55289,0.05482,0.00000
2360,0.81890,0.00973,0.18431,0.55286,0.05461,0.00000
2370,0.81898,0.00970,0.18428,0.55280,0.05459,0.00000
2380,0.81875,0.00970,0.18430,0.55287,0.05464,0.00000
2390,0.81918,0.00972,0.18430,0.55311,0.05473,0.00000
2400,0.82023,0.01011,0.18428,0.55310,0.05476,0.00000
2410,0.82064,0.01069,0.18434,0.55303,0.05408,0.00000
2420,0.81977,0.01006,0.18425,0.55307,0.05494,0.00000
2430,0.81920,0.00999,0.18425,0.55250,0.05482,0.00000
2440,0.81994,0.00995,0.18429,0.55318,0.05516,0.00000
2450,0.81899,0.00974,0.18428,0.55255,0.05485,0.00000
2460,0.82012,0.00986,0.18428,0.55350,0.05505,0.00000
2470,0.81930,0.00967,0.18428,0.55330,0.05474,0.00000
2480,0.81881,0.00978,0.18427,0.55286,0.05438,0.00000
2490,0.81898,0.00974,0.18427,0.55292,0.05472,0.00000
