scene,metric,metric_label,renderer,series,series_kind,pearson_r
sponza_ivy,quad_covered_lanes,Quad covered lanes,Prepass,total,total,0.5224718917697673
sponza_ivy,quad_covered_lanes,Quad covered lanes,Prepass,depth_prepass,pass,0.4484342019876159
sponza_ivy,quad_covered_lanes,Quad covered lanes,Prepass,geometry,pass,0.4806986223535221
sponza_ivy,quad_covered_lanes,Quad covered lanes,Prepass,lighting,pass,0.12792814066700445
sponza_ivy,quad_covered_lanes,Quad covered lanes,Prepass,tonemap,pass,0.5794131937784003
sponza_ivy,quad_covered_lanes,Quad covered lanes,VisBuf,total,total,0.5653504066700541
sponza_ivy,quad_covered_lanes,Quad covered lanes,VisBuf,visibility,pass,0.5403601317352895
sponza_ivy,quad_covered_lanes,Quad covered lanes,VisBuf,gbuffer,pass,0.4663136159862975
sponza_ivy,quad_covered_lanes,Quad covered lanes,VisBuf,lighting,pass,0.18789079297547281
sponza_ivy,quad_covered_lanes,Quad covered lanes,VisBuf,tonemap,pass,0.7766934432181621
sponza_ivy,quad_waste_lanes,Quad waste lanes,Deferred,total,total,0.7034474222661696
sponza_ivy,quad_waste_lanes,Quad waste lanes,Deferred,geometry,pass,0.7556274146649048
sponza_ivy,quad_waste_lanes,Quad waste lanes,Deferred,lighting,pass,-0.05357651632222397
sponza_ivy,quad_waste_lanes,Quad waste lanes,Deferred,tonemap,pass,-0.3246836322868875
sponza_ivy,quad_waste_lanes,Quad waste lanes,Prepass,total,total,0.7702448184589564
sponza_ivy,quad_waste_lanes,Quad waste lanes,Prepass,depth_prepass,pass,0.7805175177812125
sponza_ivy,quad_waste_lanes,Quad waste lanes,Prepass,geometry,pass,0.6967037828600737
sponza_ivy,quad_waste_lanes,Quad waste lanes,Prepass,lighting,pass,-0.12111035407808547
sponza_ivy,quad_waste_lanes,Quad waste lanes,Prepass,tonemap,pass,0.3130752671205029
sponza_ivy,quad_waste_lanes,Quad waste lanes,VisBuf,total,total,0.8277867510165577
sponza_ivy,quad_waste_lanes,Quad waste lanes,VisBuf,visibility,pass,0.8378050785668254
sponza_ivy,quad_waste_lanes,Quad waste lanes,VisBuf,gbuffer,pass,0.668185208196328
